instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
35,1.0,0.0,2,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.585217,0.127839,1708
36,1.0,0.0,2,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.929167,0.161079,1005
37,1.0,0.0,2,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.568333,0.1418,1623
38,1.0,0.0,2,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.738333,0.0454083,1712
39,1.0,0.0,2,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.537917,0.36195,1530
40,1.0,0.0,2,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.494783,0.188839,1605
41,1.0,0.0,2,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.437391,0.221935,1538
42,1.0,0.0,2,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.506364,0.10855,1746
43,1.0,0.0,2,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.544167,0.203367,1472
44,1.0,0.0,2,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.457391,0.260883,1589
45,1.0,0.0,2,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.375833,0.417908,1913
46,1.0,0.0,2,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.314348,0.2913739999999999,1815
47,1.0,0.0,2,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.4234779999999999,0.251791,2115
48,1.0,0.0,2,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.505,0.230104,2475
49,1.0,0.0,2,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.516667,0.264925,2927
50,1.0,0.0,2,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.187917,0.507463,1635
51,1.0,0.0,2,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.407826,0.223235,1812
52,1.0,0.0,2,1.0,1.0,0.0,2,0.37541650000000004,0.38634999999999997,0.605,0.307846,1107
53,1.0,0.0,2,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.577778,0.195683,1450
54,1.0,0.0,2,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.423043,0.094113,1917
55,1.0,0.0,2,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.697391,0.250496,1807
56,1.0,0.0,2,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.712174,0.346539,1461
57,1.0,0.0,2,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.537917,0.180971,1969
58,1.0,0.0,2,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.68,0.125248,2402
59,1.0,0.0,2,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.8763639999999999,0.289686,1446
60,1.0,0.0,3,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.535,0.216425,1851
61,1.0,0.0,3,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.449583,0.3078329999999999,2134
62,1.0,0.0,3,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.318333,0.225754,1685
63,1.0,0.0,3,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.610417,0.203346,1944
64,1.0,0.0,3,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.789167,0.251871,2077
65,1.0,0.0,3,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.948261,0.343287,605
66,1.0,0.0,3,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.551304,0.341352,1872
67,1.0,0.0,3,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.420833,0.12065,2133
68,1.0,0.0,3,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.775417,0.22015,1891
69,1.0,0.0,3,0.0,4.0,1.0,3,0.37541650000000004,0.38634999999999997,0.0,0.2618769999999999,623
70,1.0,0.0,3,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.649565,0.2329699999999999,1977
71,1.0,0.0,3,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.594583,0.220775,2132
72,1.0,0.0,3,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.5273909999999999,0.270604,2417
73,1.0,0.0,3,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.496957,0.136926,2046
74,1.0,0.0,3,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.655652,0.184309,2056
75,1.0,0.0,3,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.776522,0.203117,2192
76,1.0,0.0,3,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.602917,0.209579,2744
77,1.0,0.0,3,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.525217,0.231017,3239
78,1.0,0.0,3,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.379167,0.368167,3117
79,1.0,0.0,3,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.47375,0.207721,2471
80,2.0,0.0,3,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.737391,0.288783,2077
81,2.0,0.0,3,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.624583,0.22575,2703
82,2.0,0.0,3,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.839565,0.180971,2121
83,2.0,0.0,3,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.805833,0.2437869999999999,1865
84,2.0,0.0,3,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.495,0.230725,2210
85,2.0,0.0,3,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.394167,0.209571,2496
86,2.0,0.0,3,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.493913,0.1843,1693
87,2.0,0.0,3,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.302174,0.212204,2028
88,2.0,0.0,3,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.314167,0.226996,2425
89,2.0,0.0,3,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.646667,0.172888,1536
90,2.0,0.0,3,0.0,4.0,1.0,3,0.37541650000000004,0.38634999999999997,0.918333,0.217646,1685
91,2.0,0.0,4,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.68625,0.258708,2227
92,2.0,0.0,4,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.65375,0.197146,2252
93,2.0,0.0,4,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.48,0.182213,3249
94,2.0,0.0,4,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.42625,0.385571,3115
95,2.0,0.0,4,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.642083,0.388067,1795
96,2.0,0.0,4,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.470833,0.263063,2808
97,2.0,0.0,4,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.602917,0.1623119999999999,3141
98,2.0,0.0,4,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.83625,0.226992,1471
99,2.0,0.0,4,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.8775,0.1330829999999999,2455
100,2.0,0.0,4,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.8575,0.146767,2895
101,2.0,0.0,4,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.716956,0.324474,3348
102,2.0,0.0,4,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.739167,0.274879,2034
103,2.0,0.0,4,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.819167,0.250617,2162
104,2.0,0.0,4,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.540417,0.1107,3267
105,2.0,0.0,4,1.0,5.0,0.0,1,0.37541650000000004,0.38634999999999997,0.67125,0.226375,3126
106,2.0,0.0,4,0.0,6.0,0.0,3,0.37541650000000004,0.38634999999999997,0.888333,0.340808,795
107,2.0,0.0,4,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.479583,0.303496,3744
108,2.0,0.0,4,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.5425,0.163567,3429
109,2.0,0.0,4,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.665833,0.157971,3204
110,2.0,0.0,4,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.614167,0.241925,3944
111,2.0,0.0,4,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.407083,0.325258,4189
112,2.0,0.0,4,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.729583,0.219521,1683
113,2.0,0.0,4,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.887917,0.230725,4036
114,2.0,0.0,4,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.810833,0.192175,4191
115,2.0,0.0,4,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.776667,0.185333,4073
116,2.0,0.0,4,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.729167,0.3265,4400
117,2.0,0.0,4,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.835417,0.3122,3872
118,2.0,0.0,4,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.700833,0.3209079999999999,4058
119,2.0,0.0,4,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.457083,0.240063,4595
120,2.0,0.0,4,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.503333,0.235075,5312
121,2.0,0.0,5,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.762083,0.1063539999999999,3351
122,2.0,0.0,5,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.73,0.183454,4401
123,2.0,0.0,5,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.697083,0.342667,4451
124,2.0,0.0,5,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.737083,0.328996,2633
125,2.0,0.0,5,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.444167,0.295392,4433
126,2.0,0.0,5,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.59,0.228246,4608
127,2.0,0.0,5,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.54125,0.16045,4714
128,2.0,0.0,5,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.631667,0.0746375,4333
129,2.0,0.0,5,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.58875,0.180971,4362
130,2.0,0.0,5,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.646667,0.115671,4803
131,2.0,0.0,5,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.632917,0.120642,4182
132,2.0,0.0,5,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.7475,0.189667,4864
133,2.0,0.0,5,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.863333,0.179725,4105
134,2.0,0.0,5,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.9225,0.13495,3409
135,2.0,0.0,5,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.867083,0.152979,4553
136,2.0,0.0,5,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.787917,0.126871,3958
137,2.0,0.0,5,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.837917,0.277354,4123
138,2.0,0.0,5,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.87,0.201492,3855
139,2.0,0.0,5,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.829583,0.108213,4575
140,2.0,0.0,5,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.719583,0.125013,4917
141,2.0,0.0,5,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.626667,0.12065,5805
142,2.0,0.0,5,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.749583,0.148008,4660
143,2.0,0.0,5,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.81,0.233842,4274
144,2.0,0.0,5,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.740833,0.207092,4492
145,2.0,0.0,5,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.69625,0.1542329999999999,4978
146,2.0,0.0,5,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.6775,0.199642,4677
147,2.0,0.0,5,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.65375,0.240679,4679
148,2.0,0.0,5,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.729583,0.230092,4758
149,2.0,0.0,5,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.81875,0.213938,4788
150,2.0,0.0,5,1.0,1.0,0.0,1,0.37541650000000004,0.38634999999999997,0.685,0.131225,4098
151,2.0,0.0,5,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.636667,0.111329,3982
152,2.0,0.0,6,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.677083,0.207092,3974
153,2.0,0.0,6,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.305,0.2922869999999999,4968
154,2.0,0.0,6,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.354167,0.253121,5312
155,2.0,0.0,6,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.45625,0.123142,5342
156,2.0,0.0,6,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.6525,0.138692,4906
157,2.0,0.0,6,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.6,0.121896,4548
158,2.0,0.0,6,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.597917,0.187808,4833
159,2.0,0.0,6,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.6220829999999999,0.136817,4401
160,2.0,0.0,6,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.568333,0.149883,3915
161,2.0,0.0,6,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.605,0.1405539999999999,4586
162,2.0,0.0,6,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.654583,0.15485,4966
163,2.0,0.0,6,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.747917,0.163567,4460
164,2.0,0.0,6,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.494583,0.30535,5020
165,2.0,0.0,6,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.507083,0.269283,4891
166,2.0,0.0,6,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.471667,0.1679119999999999,5180
167,2.0,0.0,6,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.688333,0.206471,3767
168,2.0,0.0,6,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.735833,0.143029,4844
169,2.0,0.0,6,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.670417,0.1194079999999999,5119
170,2.0,0.0,6,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.666667,0.102,4744
171,2.0,0.0,6,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.74625,0.155475,4010
172,3.0,0.0,6,0.0,2.0,1.0,2,0.37541650000000004,0.38634999999999997,0.770417,0.171025,4835
173,3.0,0.0,6,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.7075,0.172262,4507
174,3.0,0.0,6,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.703333,0.238804,4790
175,3.0,0.0,6,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.573333,0.222025,4991
176,3.0,0.0,6,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.483333,0.209571,5202
177,3.0,0.0,6,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.513333,0.0945333,5305
178,3.0,0.0,6,0.0,1.0,1.0,2,0.37541650000000004,0.38634999999999997,0.658333,0.107588,4708
179,3.0,0.0,6,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.634167,0.144283,4648
180,3.0,0.0,6,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.497917,0.261821,5225
181,3.0,0.0,6,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.434167,0.1853119999999999,5515
182,3.0,0.0,7,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.39625,0.1026079999999999,5362
183,3.0,0.0,7,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.444583,0.1150619999999999,5119
184,3.0,0.0,7,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.6825,0.228858,4649
185,3.0,0.0,7,1.0,1.0,0.0,2,0.37541650000000004,0.38634999999999997,0.637917,0.0814791999999999,6043
186,3.0,0.0,7,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.590417,0.1262579999999999,4665
187,3.0,0.0,7,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.743333,0.149883,4629
188,3.0,0.0,7,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.65125,0.1592,4592
189,3.0,0.0,7,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.757917,0.225129,4040
190,3.0,0.0,7,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.609167,0.1679119999999999,5336
191,3.0,0.0,7,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.578333,0.183471,4881
192,3.0,0.0,7,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.635833,0.282337,4086
193,3.0,0.0,7,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.559167,0.200254,4258
194,3.0,0.0,7,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.631667,0.1461329999999999,4342
195,3.0,0.0,7,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.47625,0.240667,5084
196,3.0,0.0,7,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.59125,0.182833,5538
197,3.0,0.0,7,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.585,0.208342,5923
198,3.0,0.0,7,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.604167,0.245033,5302
199,3.0,0.0,7,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.65125,0.215804,4458
200,3.0,0.0,7,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.650417,0.1306,4541
201,3.0,0.0,7,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.707083,0.113817,4332
202,3.0,0.0,7,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.69125,0.222021,3784
203,3.0,0.0,7,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.580417,0.1331,3387
204,3.0,0.0,7,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.5,0.131221,3285
205,3.0,0.0,7,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.550833,0.169171,3606
206,3.0,0.0,7,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.757083,0.0908083,3840
207,3.0,0.0,7,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.540833,0.200258,4590
208,3.0,0.0,7,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.402917,0.183463,4656
209,3.0,0.0,7,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.583333,0.178479,4390
210,3.0,0.0,7,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.5425,0.174138,3846
211,3.0,0.0,7,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.465833,0.168537,4475
212,3.0,0.0,7,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.480833,0.164813,4302
213,3.0,0.0,8,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.550833,0.156717,4266
214,3.0,0.0,8,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.635833,0.20585,4845
215,3.0,0.0,8,0.0,3.0,1.0,2,0.37541650000000004,0.38634999999999997,0.6575,0.1355829999999999,3574
216,3.0,0.0,8,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.7575,0.19715,4576
217,3.0,0.0,8,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.630833,0.184696,4866
218,3.0,0.0,8,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.755,0.22825,4294
219,3.0,0.0,8,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.7529170000000001,0.201487,3785
220,3.0,0.0,8,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.592083,0.192175,4326
221,3.0,0.0,8,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.570417,0.151121,4602
222,3.0,0.0,8,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.424167,0.200258,4780
223,3.0,0.0,8,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.42375,0.164796,4792
224,3.0,0.0,8,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.415,0.125621,4905
225,3.0,0.0,8,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.729583,0.211454,4150
226,3.0,0.0,8,0.0,0.0,0.0,2,0.37541650000000004,0.38634999999999997,0.8175,0.222633,3820
227,3.0,0.0,8,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.712083,0.208954,4338
228,3.0,0.0,8,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.578333,0.2363289999999999,4725
229,3.0,0.0,8,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.575417,0.143667,4694
230,3.0,0.0,8,0.0,4.0,1.0,1,0.37541650000000004,0.38634999999999997,0.654583,0.233208,3805
231,3.0,0.0,8,0.0,5.0,1.0,2,0.37541650000000004,0.38634999999999997,0.722917,0.139308,4153
232,3.0,0.0,8,0.0,6.0,0.0,1,0.37541650000000004,0.38634999999999997,0.674167,0.104467,5191
233,3.0,0.0,8,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.77,0.248754,3873
234,3.0,0.0,8,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.47,0.27675,4758
235,3.0,0.0,8,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.455417,0.146763,5895
236,3.0,0.0,8,0.0,3.0,1.0,1,0.37541650000000004,0.38634999999999997,0.605,0.253108,5130
237,3.0,0.0,8,0.0,4.0,1.0,2,0.37541650000000004,0.38634999999999997,0.771667,0.210833,3542
238,3.0,0.0,8,0.0,5.0,1.0,1,0.37541650000000004,0.38634999999999997,0.76125,0.0839625,4661
239,3.0,0.0,8,0.0,6.0,0.0,2,0.37541650000000004,0.38634999999999997,0.85,0.375617,1115
240,3.0,0.0,8,0.0,0.0,0.0,1,0.37541650000000004,0.38634999999999997,0.561765,0.304659,4334
241,3.0,0.0,8,0.0,1.0,1.0,1,0.37541650000000004,0.38634999999999997,0.554583,0.159825,4634
242,3.0,0.0,8,0.0,2.0,1.0,1,0.37541650000000004,0.38634999999999997,0.548333,0.1250079999999999,5204
